05,FONTE,TÍTULO,CATEGORIA,MUNICÍPIO,BAIRRO,REGIÃO - ZONA,LINK,OPERADOR,Coluna 1,Coluna 2
12/02/2025,Whatsapp: colaborador Movisafe,Tiros em Penha Circular,Tiroteio,Rio de Janeiro,Penha Circular,Zona Norte,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Luis,,
12/02/2025,Whatsapp: OTT,Tiros no Morro do Juramentinho,Tiroteio,Rio de Janeiro,Cavalcanti,Zona Norte,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Luis,,
12/02/2025,Whatsapp: OTT,Tiros no Morro do Fallet Fogueteiro,Tiroteio,Rio de Janeiro,Rio Comprido,Centro,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Luis,,
13/02/2025,Whatsapp OTT,Tiros no Morro dos Macacos,Tiroteio,Rio de Janeiro,Vila Isabel,Zona Norte,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Luis,,
14/02/2025,Whatsapp OTT,Tiros no Morro do Juramento,Tiroteio,Rio de Janeiro,Vicente de Carvalho,Zona Norte,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Gustavo,,
14/02/2025,Whatsapp OTT,Tiros no Morro do Trem,Tiroteio,Rio de Janeiro,Vila Kosmos,Zona Norte,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Gustavo,,
14/02/2025,COR (Perfil X),Manifestação em Deodoro,"Atos de Vandalismo, desordem social",Rio de Janeiro,Deodoro,ZONA OESTE,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Gustavo,,
14/02/2025,COR (Perfil X),Acidente na Rocinha,Acidente de Trânsito,Rio de Janeiro,Rocinha,Zona Sul,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Gustavo,,
14/02/2025,Whatsapp OTT,Tiros em Vigário Geral,Tiroteio,Rio de Janeiro,Vigário Geral,Zona Norte,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Gustavo,,
17/02/2025,Whatsapp OTT,Tiros - comunidade do Sertão - Rio das Pedras,Tiroteio,Rio de Janeiro,Jacarepaguá,ZONA OESTE,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Josniel,,
